name,id,coordinates,dataset,comments
Tydalsfjellene,0,"",none,""
Trøndelag,11862827,"64.02475,11.58001",geonames,""
Fredriksten festning,3156528,"59.11977,11.39676",geonames,""
Norge,3144096,"62,10",geonames,""
Sverige,2661886,"62,15",geonames,""
Haltdalen,3154115,"62.92659,11.14056",geonames,""
Gauldalen,3155978,"62.81667,11.5",geonames,""
Tydalen,9730417,"63.05747,11.48391",geonames,""
Åre,2725422,"63.38305,13.12616",geonames,""
Jemtland,2703330,"63,14.66667",geonames,""
Flora,3156986,"63.1095,11.30946",geonames,""
Selbu,3139940,"63.2177,11.03938",geonames,""
Tydal,3133517,"63.04477,11.65038",geonames,""
Flakne,376281,"63.110215,11.265911",stedsnavn,""
Ås,3162795,"63.05,11.65",geonames,""
Østby,3143217,"63.05082,11.673",geonames,""
Handöl,2708011,"63.26667,12.43333",geonames,""
Øyfjellet,3142837,"63.06419,11.82984",geonames,""
Essandsjøen,3158022,"63.09001,11.98101",geonames,""
Enan,2716245,"63.29194,12.28317",geonames,""
Duved,2717125,"63.4,12.86667",geonames,""
Røros,3141332,"62.57468,11.3842",geonames,""